!!SBtab TableID='ParamPrep' TableType='Quantity' TableName='Parameters_EqPrep' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2019-5-17'
!QuantityType	!Reaction:SBML:reaction:id	!Enzyme:Identifiers:ec-code	!Compound:SBML:species:id	!Name	!Mean	!Std	!Unit	!Min	!Max	!Organism	!Description
Michaelis constant	R_RBFK	2.7.1.26	M_atp_c	ATP	0.112					Bacillus subtilis	BRENDA LIT: 641252; Filo Dist: 0.876
Michaelis constant	R_RBFK	2.7.1.26	M_atp_c	ATP	0.0083					Bos taurus	BRENDA LIT: 641251; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.082					Trypanosoma brucei	BRENDA LIT: 641578; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Entodinium sp.	BRENDA LIT: 641525; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Sus scrofa	BRENDA LIT: 641529; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.46					Sus scrofa	BRENDA LIT: 677083; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.52					Sus scrofa	BRENDA LIT: 677083; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.6					Sus scrofa	BRENDA LIT: 707282; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Tenebrio molitor	BRENDA LIT: 641535; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Saccharomyces cerevisiae	BRENDA LIT: 641551; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.24					Homo sapiens	BRENDA LIT: 661215; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.34					Homo sapiens	BRENDA LIT: 661215; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	2.3					Homo sapiens	BRENDA LIT: 674499; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	14.1					Homo sapiens	BRENDA LIT: 674499; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.082					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.082					Rattus norvegicus	BRENDA LIT: 641562; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.4					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.4					Rattus norvegicus	BRENDA LIT: 641564; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.83					Rattus norvegicus	BRENDA LIT: 641564; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.98					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	1.05					Rattus norvegicus	BRENDA LIT: 674052; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	1.3					Rattus norvegicus	BRENDA LIT: 661404; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	1.4					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Busycotypus canaliculatum	'BRENDA LIT: 641565, 641566; Filo Dist: nan'
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.03					Ricinus communis	BRENDA LIT: 641567; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.046					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.055					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.09					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.101					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.12					Ricinus communis	BRENDA LIT: 641567; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Ricinus communis	BRENDA LIT: 641567; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.357					Oryctolagus cuniculus	BRENDA LIT: 737796; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.365					Oryctolagus cuniculus	BRENDA LIT: 737796; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.39					Streptococcus mutans	BRENDA LIT: 641589; Filo Dist: 1.013
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.075					Brassica napus	BRENDA LIT: 641602; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.14					Brassica napus	BRENDA LIT: 641623; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.11					Brassica rapa subsp. oleifera	BRENDA LIT: 641612; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.235					Cynodon dactylon	BRENDA LIT: 641625; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.03					Monoraphidium minutum	BRENDA LIT: 641576; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Monoraphidium minutum	BRENDA LIT: 641576; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.31					Lethenteron camtschaticum	BRENDA LIT: 641607; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.0965					Brassica juncea	BRENDA LIT: 723044; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.092					Thermofilum pendens	BRENDA LIT: 730677; Filo Dist: 6.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.14					Thermofilum pendens	BRENDA LIT: 730677; Filo Dist: 6.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Bos taurus	BRENDA LIT: 641524; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Bos taurus	BRENDA LIT: 641554; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Periplaneta americana	BRENDA LIT: 641534; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Nautilus pompilius	BRENDA LIT: 641542; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Cicer arietinum	BRENDA LIT: 641523; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Cardium tuberculatum	BRENDA LIT: 641532; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.98					Pelophylax ridibundus	BRENDA LIT: 641539; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.17					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.24					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	7.99					Toxoplasma gondii	BRENDA LIT: 708992; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.3					Takifugu rubripes	BRENDA LIT: 661513; Filo Dist: 4.112
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.12					Musa cavendishii	BRENDA LIT: 641603; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.24					Selenomonas ruminantium	BRENDA LIT: 641615; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.12					Rhodotorula toruloides	BRENDA LIT: 641587; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.12					Plasmodium falciparum	BRENDA LIT: 660890; Filo Dist: 4.172
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Zymomonas mobilis	BRENDA LIT: 3241; Filo Dist: 2.5
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.16					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641588; Filo Dist: 1.512
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.2					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641588; Filo Dist: 1.512
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.7					Bacillus licheniformis	BRENDA LIT: 641549; Filo Dist: 0.897
Michaelis constant	R_PYK	2.7.1.40	M_adp_c	ADP	0.4					Pigeon	BRENDA LIT: 641526; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.15					Entodinium sp.	BRENDA LIT: 641525; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.02					Sus scrofa	BRENDA LIT: 677083; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.02					Sus scrofa	BRENDA LIT: 677083; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Sus scrofa	BRENDA LIT: 641529; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.1					Sus scrofa	BRENDA LIT: 707282; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Tenebrio molitor	BRENDA LIT: 641535; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.22					Tenebrio molitor	BRENDA LIT: 663020; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.26					Tenebrio molitor	BRENDA LIT: 663020; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.35					Tenebrio molitor	BRENDA LIT: 641535; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.6					Tenebrio molitor	BRENDA LIT: 663020; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.88					Tenebrio molitor	BRENDA LIT: 641535; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.021					Saccharomyces cerevisiae	BRENDA LIT: 661108; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.045					Saccharomyces cerevisiae	BRENDA LIT: 661108; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.099					Saccharomyces cerevisiae	BRENDA LIT: 641551; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.31					Saccharomyces cerevisiae	BRENDA LIT: 661108; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.18					Saccharomyces cerevisiae	BRENDA LIT: 661108; Filo Dist: 4.245
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.0019					Homo sapiens	BRENDA LIT: 692317; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.1					Homo sapiens	BRENDA LIT: 709464; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.13					Homo sapiens	BRENDA LIT: 674499; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.17					Homo sapiens	BRENDA LIT: 661215; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.24					Homo sapiens	BRENDA LIT: 721690; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.61					Homo sapiens	BRENDA LIT: 674499; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.9					Homo sapiens	BRENDA LIT: 676298; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.5					Homo sapiens	BRENDA LIT: 709464; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	2.1					Homo sapiens	BRENDA LIT: 661215; Filo Dist: 4.097
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.05					Rattus norvegicus	BRENDA LIT: 661404; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.07					Rattus norvegicus	BRENDA LIT: 674052; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.18					Rattus norvegicus	BRENDA LIT: 641564; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.27					Rattus norvegicus	BRENDA LIT: 707914; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.3					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.4					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.4					Rattus norvegicus	BRENDA LIT: 641564; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.59					Rattus norvegicus	BRENDA LIT: 707914; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.4					Rattus norvegicus	BRENDA LIT: 641555; Filo Dist: 4.107
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Busycotypus canaliculatum	BRENDA LIT: 641566; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.033					Ricinus communis	BRENDA LIT: 641616; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Ricinus communis	BRENDA LIT: 641567; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.046					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.082					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.089					Ricinus communis	BRENDA LIT: 641616; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.093					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.15					Ricinus communis	BRENDA LIT: 676689; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.073					Oryctolagus cuniculus	BRENDA LIT: 737796; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.076					Oryctolagus cuniculus	BRENDA LIT: 737796; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Mycobacterium smegmatis	BRENDA LIT: 641586; Filo Dist: 1.425
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Streptococcus mutans	BRENDA LIT: 641589; Filo Dist: 1.013
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.22					Streptococcus mutans	BRENDA LIT: 641589; Filo Dist: 1.013
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Thermoplasma acidophilum	BRENDA LIT: 641590; Filo Dist: 4.28
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.052					Brassica napus	BRENDA LIT: 641623; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.12					Brassica napus	BRENDA LIT: 641602; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.1					Brassica rapa subsp. oleifera	BRENDA LIT: 641612; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.064					Cynodon dactylon	BRENDA LIT: 641625; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.18					Monoraphidium minutum	BRENDA LIT: 641576; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.41					Lethenteron camtschaticum	BRENDA LIT: 641607; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.1785					Brassica juncea	BRENDA LIT: 723044; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.024					Meganyctiphanes norvegica	BRENDA LIT: 641609; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.033					Meganyctiphanes norvegica	BRENDA LIT: 641609; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.181					Meganyctiphanes norvegica	BRENDA LIT: 641609; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.193					Meganyctiphanes norvegica	BRENDA LIT: 641609; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Bos taurus	BRENDA LIT: 641524; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.18					Bos taurus	BRENDA LIT: 641554; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Periplaneta americana	BRENDA LIT: 641534; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Nautilus pompilius	BRENDA LIT: 641542; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Canis lupus familiaris	BRENDA LIT: 641545; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.04					Metacarcinus magister	BRENDA LIT: 641546; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.05					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.09					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.12					Vigna radiata	BRENDA LIT: 641611; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.116					Toxoplasma gondii	BRENDA LIT: 708992; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.059					Takifugu rubripes	BRENDA LIT: 661513; Filo Dist: 4.112
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.3					Takifugu rubripes	BRENDA LIT: 661513; Filo Dist: 4.112
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.098					Musa cavendishii	BRENDA LIT: 641603; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.11					Selenomonas ruminantium	BRENDA LIT: 641615; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.186					Geobacillus stearothermophilus	BRENDA LIT: 674350; Filo Dist: 1.5
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.4					Rhodotorula toruloides	BRENDA LIT: 641587; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.19					Plasmodium falciparum	BRENDA LIT: 660890; Filo Dist: 4.172
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.15					Chlamydomonas reinhardtii	BRENDA LIT: 641516; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.18					Chlamydomonas reinhardtii	BRENDA LIT: 641516; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.2					Bacillus licheniformis	BRENDA LIT: 641549; Filo Dist: 0.897
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.21					Entamoeba histolytica	BRENDA LIT: 661672; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	1.05					Entamoeba histolytica	BRENDA LIT: 661672; Filo Dist: 5.0
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.4					Pigeon	BRENDA LIT: 641526; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.45					Synechococcus sp.	BRENDA LIT: 641619; Filo Dist: 1.548
Michaelis constant	R_PYK	2.7.1.40	M_pep_c	phosphoenolpyruvate	0.54					Synechococcus sp.	BRENDA LIT: 641619; Filo Dist: 1.548
Michaelis constant	R_PYK	2.7.1.40	M_pyr_c	pyruvate	0.025					Sparus aurata	BRENDA LIT: 691899; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pyr_c	pyruvate	0.055					Sparus aurata	BRENDA LIT: 691899; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_pyr_c	pyruvate	0.48					Selenomonas ruminantium	BRENDA LIT: 641615; Filo Dist: nan
Michaelis constant	R_PYK	2.7.1.40	M_atp_c	ATP	0.35					Selenomonas ruminantium	BRENDA LIT: 641615; Filo Dist: nan
Michaelis constant	R_AMANK	2.7.1.60	M_acmana_c	N-acetyl-D-mannosamine	0.093					Rattus norvegicus	BRENDA LIT: 2280; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_acmana_c	N-acetyl-D-mannosamine	0.121					Rattus norvegicus	BRENDA LIT: 2280; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_acmana_c	N-acetyl-D-mannosamine	0.2					Rattus norvegicus	BRENDA LIT: 641730; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_acmana_c	N-acetyl-D-mannosamine	0.75					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641731; Filo Dist: 1.512
Michaelis constant	R_AMANK	2.7.1.60	M_acmana_c	N-acetyl-D-mannosamine	0.75					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641732; Filo Dist: 1.512
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	1.18					Rattus norvegicus	BRENDA LIT: 2280; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	1.67					Rattus norvegicus	BRENDA LIT: 2280; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	2.0					Rattus norvegicus	BRENDA LIT: 641730; Filo Dist: 4.107
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	4.4					Homo sapiens	BRENDA LIT: 722749; Filo Dist: 4.097
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	1.15					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641731; Filo Dist: 1.512
Michaelis constant	R_AMANK	2.7.1.60	M_atp_c	ATP	1.15					Salmonella enterica subsp. enterica serovar Typhimurium	BRENDA LIT: 641732; Filo Dist: 1.512
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	0.0713					Methanosarcina thermophila	BRENDA LIT: 659065; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	0.08					Methanosarcina thermophila	BRENDA LIT: 659446; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	1.0					Methanosarcina thermophila	BRENDA LIT: 642191; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	1.4					Methanosarcina thermophila	BRENDA LIT: 642194; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	1.5					Methanosarcina thermophila	BRENDA LIT: 642196; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.0					Methanosarcina thermophila	BRENDA LIT: 642193; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.13					Methanosarcina thermophila	BRENDA LIT: 642196; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.8					Methanosarcina thermophila	BRENDA LIT: 642184; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.8					Methanosarcina thermophila	BRENDA LIT: 642191; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.8					Methanosarcina thermophila	BRENDA LIT: 642193; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.8					Methanosarcina thermophila	BRENDA LIT: 642194; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.8					Methanosarcina thermophila	BRENDA LIT: 727804; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	4.0					Methanosarcina thermophila	BRENDA LIT: 730304; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	4.5					Methanosarcina thermophila	BRENDA LIT: 642191; Filo Dist: 4.153
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	2.36					Methylomicrobium alcaliphilum	BRENDA LIT: 737465; Filo Dist: 2.5
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	0.07					Lactococcus lactis	BRENDA LIT: 738528; Filo Dist: 1.013
Michaelis constant	R_ACKr	2.7.2.1	M_atp_c	ATP	0.07					Escherichia coli	BRENDA LIT: 642182; Filo Dist: 1.512
